Team,EarlyHits,LateHits
Colorado Avalanche,348,373
Florida Panthers,576,449
Carolina Hurricanes,428,439
Toronto Maple Leafs,447,467
New York Rangers,536,456
Boston Bruins,545,425
Tampa Bay Lightning,545,500
Minnesota Wild,486,487
Calgary Flames,445,437
Pittsburgh Penguins,578,388
Edmonton Oilers,422,439
St. Louis Blues,383,433
Nashville Predators,447,542
Dallas Stars,461,454
Vegas Golden Knights,418,457
Los Angeles Kings,399,412
Washington Capitals,529,388
Vancouver Canucks,489,413
Winnipeg Jets,509,448
Columbus Blue Jackets,290,427
New York Islanders,517,428
San Jose Sharks,482,430
Anaheim Ducks,474,348
Detroit Red Wings,412,414
Buffalo Sabres,312,295
Ottawa Senators,569,559
Chicago Blackhawks,582,467
New Jersey Devils,390,327
Philadelphia Flyers,451,431
Seattle Kraken,567,359
Arizona Coyotes,481,393
Montreal Canadiens,630,394